일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
2020-08-08,대구(143),X,28.6,25.0,23.7,22.9,96.9,X, ,X,보통
2020-08-09,대구(143),O,33.4,33.4,28.3,23.9,71.6,O,주의,O,높음
2020-08-10,대구(143),X,32.8,30.6,26.1,24.2,90.1,O,주의,X,보통
2020-08-11,대구(143),O,33.7,33.2,27.6,24.3,81.8,O,경고,X,높음
2020-08-12,대구(143),O,34.2,33.7,28.7,24.7,79.4,O,경고,O,높음
2020-08-13,대구(143),O,35.0,35.4,30.3,25.8,68.1,O,경고,O,매우높음
2020-08-14,대구(143),O,35.5,35.6,31.2,25.6,64.3,O,경고,O,높음
2020-08-15,대구(143),O,35.8,36.1,31.4,27.1,60.9,O,경고,O,매우높음
2020-08-16,대구(143),O,35.0,35.9,30.4,25.9,64.0,O,경고,O,매우높음
2020-08-17,대구(143),O,33.9,34.2,29.6,25.3,66.5,O,경고,X,매우높음
2020-08-18,대구(143),O,34.3,35.9,30.0,24.8,63.3,O,심각,X,매우높음
2020-08-19,대구(143),O,34.5,36.0,30.5,24.8,59.4,O,심각,X,매우높음
2020-08-20,대구(143),O,34.8,36.3,29.6,24.4,60.0,O,경고,X,매우높음
2020-08-21,대구(143),O,33.3,33.8,27.2,23.8,71.8,O,경고,X,매우높음
2020-08-22,대구(143),X,31.3,31.2,26.9,23.8,69.8,O,경고,X,높음
2020-08-23,대구(143),X,32.6,33.5,28.2,24.0,66.4,O,경고,X,보통
2020-08-24,대구(143),O,33.6,33.9,28.5,23.6,67.8,O,경고,X,높음
2020-08-25,대구(143),O,35.2,36.3,29.9,23.7,65.1,O,경고,O,매우높음
2020-08-26,대구(143),O,33.8,33.5,29.4,27.0,67.8,O,관심,O,보통
2020-08-27,대구(143),O,33.8,33.3,28.4,25.7,74.1,O,주의,O,보통
2020-08-28,대구(143),O,33.6,32.9,28.8,26.0,73.0,O,경고,O,보통
2020-08-29,대구(143),O,33.7,33.9,29.8,26.3,65.4,O,경고,O,높음
2020-08-30,대구(143),O,34.2,34.9,28.6,25.0,70.9,O,경고,X,보통
2020-08-31,대구(143),X,29.0,27.4,25.4,23.8,73.4,O,주의,X,보통
2020-09-01,대구(143),X,30.4,29.4,25.6,22.9,72.6,X,주의,X,보통
2020-09-02,대구(143),X,30.6,28.3,26.1,23.9,84.8,X,관심,X,보통
2020-09-03,대구(143),X,29.7,30.8,27.0,23.8,57.8,X,관심,X,보통
2020-09-04,대구(143),X,29.2,30.4,24.1,18.3,62.0,X, ,X,매우높음
2020-09-05,대구(143),X,25.0,23.1,19.9,17.3,85.3,X, ,X,높음
2020-09-06,대구(143),X,24.1,20.7,19.5,17.6,93.4,X, ,X,보통
2020-09-07,대구(143),X,28.3,25.6,23.4,18.8,72.4,X, ,X,보통
2020-09-08,대구(143),X,29.8,30.3,25.4,22.1,62.0,X, ,X,매우높음
2020-09-09,대구(143),X,27.7,28.1,23.9,21.1,70.9,X, ,X,보통
2020-09-10,대구(143),X,27.9,28.1,23.3,19.3,72.6,X, ,X,높음
2020-09-11,대구(143),X,27.2,26.5,21.7,18.8,81.8,X, ,X,보통
2020-09-12,대구(143),X,24.8,21.9,19.9,18.3,90.9,X, ,X,보통
2020-09-13,대구(143),X,26.5,26.0,20.9,18.1,76.1,X, ,X,보통
2020-09-14,대구(143),X,27.9,28.6,22.5,18.0,71.0,X, ,X,높음
2020-09-15,대구(143),X,28.4,28.9,22.9,18.3,71.5,X, ,X,높음
2020-09-16,대구(143),X,25.9,23.7,21.7,19.8,85.8,X, ,X,보통
2020-09-17,대구(143),X,26.7,25.0,21.5,18.3,87.0,X, ,X,보통
2020-09-18,대구(143),X,25.8,25.6,20.5,16.0,71.1,X, ,X,보통
2020-09-19,대구(143),X,26.6,27.4,20.5,12.7,63.1,X, ,X,높음
2020-09-20,대구(143),X,24.8,26.3,19.7,13.6,59.8,X, ,X,높음
2020-09-21,대구(143),X,23.4,24.4,18.0,12.0,69.3,X, ,X,높음
2020-09-22,대구(143),X,23.0,22.9,17.5,14.2,76.4,X, ,X,보통
2020-09-23,대구(143),X,23.6,22.9,18.7,14.3,69.8,X, ,X,보통
2020-09-24,대구(143),X,24.4,23.9,19.6,16.1,70.4,X, ,X,보통
2020-09-25,대구(143),X,25.5,25.6,19.7,14.8,70.4,X, ,X,보통
2020-09-26,대구(143),X,24.9,25.0,19.4,14.6,70.4,X, ,X,보통
2020-09-27,대구(143),X,24.4,24.3,18.8,14.8,68.6,X, ,X,보통
2020-09-28,대구(143),X,23.8,24.1,17.6,11.7,72.9,X, ,X,보통
2020-09-29,대구(143),X,24.9,26.1,18.3,11.8,67.8,X, ,X,높음
2020-09-30,대구(143),X,25.0,25.0,18.6,13.1,70.4,X, ,X,높음
2021-05-01,대구(143),X,16.3,15.6,12.1,9.4,77.3,X, ,X,보통
2021-05-02,대구(143),X,19.9,19.9,13.6,8.4,68.0,X, ,X,보통
2021-05-03,대구(143),X,24.0,24.7,16.5,7.6,64.1,X, ,X,매우높음
2021-05-04,대구(143),X,22.8,20.9,17.0,12.5,85.0,X, ,X,높음
2021-05-05,대구(143),X,22.3,23.5,18.5,13.6,53.6,X, ,X,높음
2021-05-06,대구(143),X,24.6,25.7,16.9,7.1,52.1,X, ,X,높음
2021-05-07,대구(143),X,25.0,25.6,18.1,11.5,43.5,X, ,X,높음
2021-05-08,대구(143),X,23.3,26.1,18.1,7.7,36.9,X, ,X,매우높음
2021-05-09,대구(143),X,21.7,25.0,19.0,12.6,30.3,X, ,X,매우높음
2021-05-10,대구(143),X,17.0,16.2,13.8,12.1,66.5,X, ,X,보통
2021-05-11,대구(143),X,18.8,18.2,15.1,12.3,69.4,X, ,X,보통
2021-05-12,대구(143),X,22.1,22.5,17.3,13.4,58.6,X, ,X,보통
2021-05-13,대구(143),X,28.3,30.3,20.4,11.1,53.1,X, ,X,매우높음
2021-05-14,대구(143),X,29.0,30.4,22.0,14.1,59.3,X, ,X,매우높음
2021-05-15,대구(143),X,25.2,22.6,19.9,17.4,85.6,X, ,X,보통
2021-05-16,대구(143),X,26.9,23.7,20.1,13.7,92.9,X, ,X,보통
2021-05-17,대구(143),X,19.0,16.0,14.4,13.4,93.4,X, ,X,보통
